Comando,NomeCat,IDProduto,CodProd,Nomeprod,Peso,Descricao,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,OrdemProd,RamoProd,DescrHTM,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,URLProd
A,Headset e Fones,7842621,9994,Headset Logitech Astro Gamer A10 Xbox Pto/Verde - 939-001837,720,Headset Logitech Astro Gamer A10 Xbox Pto/Verde - 939-001837,FALSE,2,0,TRUE,0,362.39,433.22,0,0,0,,,FALSE,FALSE,A10PRETOVERDE-1000-1.jpg,"A10PRETOVERDE-1000-1.jpg,A10PRETOVERDE-1000-2.jpg,A10PRETOVERDE-1000-3.jpg,A10PRETOVERDE-1000-4.jpg","A10PRETOVERDE-1000-1.jpg,A10PRETOVERDE-1000-2.jpg,A10PRETOVERDE-1000-3.jpg,A10PRETOVERDE-1000-4.jpg",0,409,9994.html,10,10,97855137401,TRUE,FALSE,110,240,270,,97855137401,headset-logitech-astro-gamer-a10-xbox-preto-verde-939-001837
A,Headset e Fones,7430734,9993,Headset Astro Gamer A10 Ps4/Pc,700,Headset Astro Gamer A10 Ps4/Pc,FALSE,1,0,TRUE,0,358,477.67,0,0,0,,,FALSE,FALSE,headset-astro-gamer-a10-ps4-pc-1x2.jpg,"headset-astro-gamer-a10-ps4-pc-1x4.jpg,headset-astro-gamer-a10-ps4-pc-2x4.jpg,headset-astro-gamer-a10-ps4-pc-3x4.jpg,headset-astro-gamer-a10-ps4-pc-4x4.jpg","headset-astro-gamer-a10-ps4-pc-1x8.jpg,headset-astro-gamer-a10-ps4-pc-2x8.jpg,headset-astro-gamer-a10-ps4-pc-3x8.jpg,headset-astro-gamer-a10-ps4-pc-4x8.jpg",220,409,9993.html,10,10,97855137395,TRUE,FALSE,260,160,310,,97855137395,headset-astro-gamer-a10-ps4-pc
A,Controles Gamer,7648866,9986,Controlador Logitech G X56 Hotas Saitek,2350,Controlador Logitech G X56 Hotas Saitek,FALSE,0,0,TRUE,0,1679,2277.67,0,0,0,,,TRUE,TRUE,X56-1200-1.jpg,"X56-1200-1.jpg,X56-1200-2.jpg,X56-1200-3.jpg,X56-1200-4.jpg","X56-1200-1.jpg,X56-1200-2.jpg,X56-1200-3.jpg,X56-1200-4.jpg",255,514,9986.html,10,10,97855127877,TRUE,FALSE,260,220,360,,97855127877,controlador-logitech-g-x56
A,Monitores,7862972,9956,Monitor Lg 25 25um58g Ultrawide/Ips/Fhd,5400,Monitor Lg 25 25um58g Ultrawide/Ips/Fhd,FALSE,0,0,TRUE,0,899.9,1222.11,0,0,0,,,FALSE,TRUE,9956-1.jpg,"9956-1.jpg,9956-2.jpg,9956-3.jpg,9956-4.jpg","9956-1.jpg,9956-2.jpg,9956-3.jpg,9956-4.jpg",0,,9956.html,10,10,7893299917639,TRUE,FALSE,360,140,690,,7893299917639,monitor-lg-25-25um58g-ultrawide-ips-fhd
A,Mouse,7846600,9947,Mouse Logitech G502 Hero Lightspeed S/Fio Preto - 910-005566,255,Mouse Logitech G502 Hero Lightspeed S/Fio Preto - 910-005566,FALSE,4,0,TRUE,0,524.84,722.11,0,0,0,,,FALSE,FALSE,G502-800-1.jpg,"G502-800-1.jpg,G502-800-2.jpg,G502-800-3.jpg,G502-800-4.jpg,G502-800-5.jpg","G502-800-1.jpg,G502-800-2.jpg,G502-800-3.jpg,G502-800-4.jpg,G502-800-5.jpg",0,567,9947.html,10,10,97855145253,TRUE,FALSE,170,130,170,,97855145253,mouse-logitech-g502-hero-lightspeed-sem-fio-preto-910-005566
A,Microfones,7093909,9919,Microfone Trust High Performance Gxt212 - T23791,300,Microfone Trust High Performance Gxt212 - T23791,FALSE,7,0,TRUE,0,92,122.11,0,0,0,,,FALSE,FALSE,GXT212-200-1.jpg,"GXT212-400-1.jpg,GXT212-400-2.jpg,GXT212-400-3.jpg,GXT212-400-4.jpg","GXT212-800-1.jpg,GXT212-800-2.jpg,GXT212-800-3.jpg,GXT212-800-4.jpg",240,415,9919.html,10,10,,TRUE,FALSE,150,120,300,,,gxt212
A,Mouse,7220699,9917,Mouse Logitech G502 C/Fio Hero Rgb Ajustavel - 910-005550,160,Mouse Logitech G502 C/Fio Hero Rgb Ajustavel - 910-005550,FALSE,0,0,TRUE,0,233,344.33,0,0,0,,,FALSE,FALSE,G502CFIO-800-4.jpg,"G502CFIO-800-4.jpg,G502CFIO-400-1.jpg,G502CFIO-400-2.jpg,G502CFIO-400-3.jpg","G502CFIO-800-4.jpg,G502CFIO-800-1.jpg,G502CFIO-800-2.jpg,G502CFIO-800-3.jpg",255,600,9917.html,10,10,,TRUE,FALSE,170,160,70,,,mouse-logitech-g502
A,Mouse,7089789,9914,Mouse Gamer Logitech G603 - 910-005100,130,Mouse Gamer Logitech G603 - 910-005100,FALSE,4,0,TRUE,0,276,377.67,0,0,0,,,FALSE,FALSE,G603-1-200.jpg,"G603-1-400.jpg,G603-2-400.jpg,G603-3-400.jpg,G603-4-400.jpg","G603-1-800.jpg,G603-2-800.jpg,G603-3-800.jpg,G603-4-800.jpg",255,600,9914.html,10,10,,TRUE,FALSE,160,120,160,,910-005100,mouse-gamer-logitech-g603
A,Headset e Fones,7886499,9894,Headset Vinik Vk390 C/Microfone Usb Preto,300,Headset Vinik Vk390 C/Microfone Usb Preto,FALSE,28,0,TRUE,0,60.03,94.33,0,0,0,,,FALSE,FALSE,VK390-1200-2.jpg,"VK390-1200-2.jpg,VK390-1200-1.jpg","VK390-1200-2.jpg,VK390-1200-1.jpg",0,,9894.html,10,10,7908020911968,TRUE,FALSE,170,160,170,,7908020911968,headset-vinik-vk390-c-microfone-usb-preto
A,Mouse,7658296,9854,Mouse Trust Gxt950 Gamer Idon Rgb 6000dpi - T23645,220,Mouse Trust Gxt950 Gamer Idon Rgb 6000dpi - T23645,FALSE,1,0,TRUE,0,183.21,238.78,0,0,0,,,FALSE,FALSE,GXT950-800-1.jpg,"GXT950-800-1.jpg,GXT950-800-2.jpg,GXT950-800-3.jpg,GXT950-800-4.jpg","GXT950-800-1.jpg,GXT950-800-2.jpg,GXT950-800-3.jpg,GXT950-800-4.jpg",0,573,9854.html,10,10,8713439236453,TRUE,FALSE,180,60,210,,8713439236453,mouse-trust-gxt950-idon-rgb-gamer
A,Mouse,7452247,9852,Mouse Gamer Trust Gxt101p Gav 4800dpi Rosa,200,Mouse Gamer Trust Gxt101p Gav 4800dpi Rosa,FALSE,18,0,TRUE,0,57,72.11,0,0,0,,,FALSE,FALSE,mouse-gamer-trust-gxt101p-gav-4800dpi-rosa-1x2.jpg,"mouse-gamer-trust-gxt101p-gav-4800dpi-rosa-1x4.jpg,mouse-gamer-trust-gxt101p-gav-4800dpi-rosa-2x4.jpg,mouse-gamer-trust-gxt101p-gav-4800dpi-rosa-3x4.jpg","mouse-gamer-trust-gxt101p-gav-4800dpi-rosa-1x8.jpg,mouse-gamer-trust-gxt101p-gav-4800dpi-rosa-2x8.jpg,mouse-gamer-trust-gxt101p-gav-4800dpi-rosa-3x8.jpg",200,573,9852.html,10,10,8713439230932,TRUE,FALSE,150,60,190,,8713439230932,mouse-gamer-trust-gxt101p-gav-4800dpi-rosa
